id,actorid_id,movieid_id
21321,nm0000288,tt1345836
21322,nm0000198,tt1345836
21323,nm0362766,tt1345836
21324,nm0330687,tt1345836
21325,nm0004266,tt1345836
21371,nm0000136,tt1210819
21372,nm2309517,tt1210819
21373,nm0001209,tt1210819
21374,nm0929489,tt1210819
21375,nm2235721,tt1210819
21391,nm0000136,tt1298650
21392,nm0004851,tt1298650
21393,nm0001691,tt1298650
21394,nm0574534,tt1298650
21395,nm0573618,tt1298650
21396,nm0000226,tt1409024
21397,nm0000169,tt1409024
21398,nm0000982,tt1409024
21399,nm1318596,tt1409024
21400,nm0000668,tt1409024
21401,nm0005212,tt2310332
21402,nm0293509,tt2310332
21403,nm0035514,tt2310332
21404,nm0832792,tt2310332
21405,nm0574615,tt2310332
21416,nm0005212,tt1170358
21417,nm0293509,tt1170358
21418,nm0035514,tt1170358
21419,nm0832792,tt1170358
21420,nm0574615,tt1170358
21441,nm2018237,tt1440129
21442,nm0002907,tt1440129
21443,nm1982597,tt1440129
21444,nm2395937,tt1440129
21445,nm0038355,tt1440129
21451,nm0185819,tt1074638
21452,nm0001132,tt1074638
21453,nm0000849,tt1074638
21454,nm0000146,tt1074638
21455,nm0365140,tt1074638
21461,nm0000375,tt1300854
21462,nm0000569,tt1300854
21463,nm0000332,tt1300854
21464,nm0001602,tt1300854
21465,nm0356017,tt1300854
21466,nm0000136,tt1014759
21467,nm1985859,tt1014759
21468,nm0000307,tt1014759
21469,nm0004266,tt1014759
21470,nm0000417,tt1014759
21476,nm0000345,tt1453405
21477,nm0000422,tt1453405
21478,nm0000114,tt1453405
21479,nm0000545,tt1453405
21480,nm0812307,tt1453405
21481,nm0479471,tt1055369
21482,nm1083271,tt1055369
21483,nm0241049,tt1055369
21484,nm0879085,tt1055369
21485,nm0001806,tt1055369
21486,nm0000242,tt2109248
21487,nm0001804,tt2109248
21488,nm0001288,tt2109248
21489,nm2443758,tt2109248
21490,nm2930503,tt2109248
21491,nm0290556,tt1623205
21492,nm0005109,tt1623205
21493,nm0001838,tt1623205
21494,nm0931329,tt1623205
21495,nm0103785,tt1623205
21496,nm1940449,tt1872181
21497,nm1297015,tt1872181
21498,nm0004937,tt1872181
21499,nm2851530,tt1872181
21500,nm0272173,tt1872181
21501,nm0000313,tt1104001
21502,nm1330560,tt1104001
21503,nm1312575,tt1104001
21504,nm0000310,tt1104001
21505,nm0289656,tt1104001
21506,nm1249256,tt1216475
21507,nm0005562,tt1216475
21508,nm0000323,tt1216475
21509,nm0607865,tt1216475
21510,nm0412850,tt1216475
21511,nm0005351,tt1133985
21512,nm0515116,tt1133985
21513,nm0765597,tt1133985
21514,nm0835016,tt1133985
21515,nm0000209,tt1133985
21536,nm0413168,tt1877832
21537,nm0564215,tt1877832
21538,nm1055413,tt1877832
21539,nm2225369,tt1877832
21540,nm0000932,tt1877832
21541,nm1517976,tt1408101
21542,nm0704270,tt1408101
21543,nm0757855,tt1408101
21544,nm0881631,tt1408101
21545,nm0670408,tt1408101
21546,nm0396558,tt1351685
21547,nm1870434,tt1351685
21548,nm0000191,tt1351685
21549,nm0001804,tt1351685
21550,nm0550371,tt1351685
21551,nm2179281,tt1343092
21552,nm0000821,tt1343092
21553,nm0001950,tt1343092
21554,nm0141885,tt1343092
21560,nm0402271,tt1663662
21561,nm1459109,tt1663662
21562,nm0252961,tt1663662
21563,nm0452860,tt1663662
21564,nm0206359,tt1663662
21565,nm0479471,tt1399103
21566,nm2492819,tt1399103
21567,nm0241049,tt1399103
21568,nm0001806,tt1399103
21569,nm0879085,tt1399103
21579,nm0531808,tt1217209
21580,nm0175262,tt1217209
21581,nm0000668,tt1217209
21582,nm0910278,tt1217209
