"movieid","title","year","length","genres","rate","poster","plot","trailer","movielenid","youtubeid"
"tt1038988","[Rec]","2007","78","Horror","7.4","https://m.media-amazon.com/images/M/MV5BZTJmNTZlZWUtZTQ2Yi00YTFjLWFiNzctYzFlNmZmZGMzYTlmXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_.jpg","A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.","https://imdb-video.media-imdb.com/vi1419903513/1434659607842-pgv4ql-1564097131787.mp4?Expires=1585982051&Signature=mcvP17lX~OOQ~lwZ3qq7Yn1v3xBFeH0NPp17mXeHnk~VJoqFwxakjNd6e6OAh18Oc9qBSuA5kLL0vzBpq8Px9C~mcKVlzi2zrbiyeVdjNkyTddiML4k7t-BCcaxte0VDtKzEQDN37XE6XA5JDIJNcPPJ7EtDnzUtjQRs6eQNOHC2M3mOfWpjmE4HU5ukdyvy7S-GZAR8iHKqZ1Vc22jWi0EI8Na8ju9zefyQC5LCg1L01nvIuoxXq2X9fJ8DYA80MeGyB4RBxuU8h9BfLB9IHMTVSWVgq56v1wnyleYt2JPXUA89Q4nZMGYmnwFokZFOK-W5GhI8gU3obP8vDmC3AA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","57274","YQUkX_XowqI"
"tt1060277","Cloverfield","2008","85","Action|Adventure|Horror|Sci-Fi","7","https://m.media-amazon.com/images/M/MV5BZDNhNDJlNDktZDI4OC00OTE3LWI2M2UtOThkNTFkNjBjYzRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg","A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.","https://imdb-video.media-imdb.com/vi78774553/MV5BMTc5NTRiMTYtZGEwMC00YmM2LWJmNjctOTlmNjliODI0MzUwXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1585977271&Signature=SxZW5ePJFme7tsBG98DSxRiOz1NXQYpHwXZcSWIcYjciCP4nvlkv6RNa~6ypuLX5-N9fFVPWXda26HgQufNKKngG2pejrB6l4AR7B0lvYwnF2TN1FTjHH8f25pXNbxHwQaRP5ve0TGuH7Ul7FSsg8wFl94ZFFFtBkHdiQbAVPmpjkL661AkK2YsReZyEU67SyM0URxatOTTXc9V6sJhM3HtvJoVwUuiQw4Rv2itMaHbNZx~JX-7p8In4jWX1KUoMYobjzUkl~KCh~oKpk1b~099~f~e2BQkligkWRvgL7Qos28wAHbXNEgipt3KibqVTxMaxWMhNUSxBWgi43a48bg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","57368","IvNkGm8mxiM"
"tt1073498","Meet the Spartans","2008","86","Comedy","2.8","https://m.media-amazon.com/images/M/MV5BMjAxMDE3NDQwMF5BMl5BanBnXkFtZTcwMjA0MzU1MQ@@._V1_.jpg","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.","https://imdb-video.media-imdb.com/vi1169293593/MV5BZTdmN2Y0ZmYtNzE5YS00YTBmLThmZTgtZjhjMWFmNzJkODdiXkExMV5Bd2VibV5BaW1kYi1ldHMtdHJhbnNjb2Rl.webm?Expires=1585976786&Signature=nMCYguwL7dfjtHDGofU6E5n0hf7YyljVY5GINyqjoDYzk1Ae3LdtEQnt71rlUfu1aFB97AVDiVDjoLO-j2NxX02bGP9T80Ee3ksO93ofaVAP~HxiyXHXAuzc547DqbJQnrQkpHdg5pGbyNB0l-NjCY0XnR4Szegfmu0-Hr9ifPfkGjntT-bvsaXBDeTuAdvxyIJGuURisNta5KFW7PQYBbPUj4yuAHV1R3OvsykE53VIfnMnK1yFAMVZ-FLdgG1B4ewEKyIf8XvGr17HM~htCETusaqzlMD5F2BRX2ZxsgvIvytwtMRzVEnFr-e-BRSlmNb7mo8MMY0jWVDcTuN3cA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","57532","RY-zJtYYolo"
"tt1023481","Step Up 2: The Streets","2008","98","Drama|Music|Musical|Romance","6.2","https://m.media-amazon.com/images/M/MV5BMTc0NzYxOTgxOF5BMl5BanBnXkFtZTcwMTgxMjc1MQ@@._V1_.jpg","Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.","https://imdb-video.media-imdb.com/vi1253179673/MV5BOGI1YTgyNWUtZTE5NC00YTY2LThlMTUtZTRkMWUzMTI4MDcyXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1585978482&Signature=dVgGBXYKUGOUXiEdqL~3tpnwm4p0RIQ1adtDcqonFCoK99ZKT0ZkFBHOEiroQaBYfdwfqAtdgbXUZoLRkQNOv7LR5dq3aZVxjtbEphLcqatgwq8e-jvyX6qxSJvvJ5t3n-NzqgsSLqgbNMf99Ai~sfiMQWXtlCtposkeTNskFXHYk2I4d7fnEtW-5NOfSbhSeGaavcvqtlotv3ljADd3PCUeFnhY1hse0qNsmTqPPMdKyT7DyBfrt1RcaLs6IfWXf921PGeS07RLXQ6wDBUZscI28AeZSduAuXpIc399F479cXMr9ktTbOTS-LlHJWhIzIYhx~~BSzvpwaiG0NcmnQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","58107","bL2wDI-O5YQ"
"tt1001562","Witless Protection","2008","97","Comedy|Crime","3.3","https://m.media-amazon.com/images/M/MV5BMTU2OTc5ODA1M15BMl5BanBnXkFtZTcwOTkzMzU1MQ@@._V1_.jpg","When a small-town sheriff witnesses what he believes to be an attempted kidnapping, his effort to save the beautiful damsel in distress sets him down a wild path of comic mishap.","https://imdb-video.media-imdb.com/vi2548171033/hls-1564040715705-master.m3u8?Expires=1585980487&Signature=iGysqoFvc7kN5bQCJ9mu4hCEGYeeQ9dwqs0uRCoUaduGi5UouZx9mzYLyYtPskE64icrZlk4RsLoIrs3IYeWg0zHCBs4Ch~Exs2N7txMN5TM-fde4Hxh~bY8GxLDare7y1G2Atep4KRZ-Ag3rsd8ypUYA6kQ5j2lAOnORzBTpT7sqR-KQFslUiz9-yuoM3eeXeTvbQTqmzvJBxlSOsExmN7PTbmqKa7MljO9YEQerkQBrRx02hlfPthfrK7sP-5KxnUSMr1Y990hBBCG9JgQbndzWYKfg5KLSzlJ0PcmSNY8LYnB6yY0BM-3-ZA4EjypJ4I8p3VAcpuq8g8dNzLzqg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","58146","Z3MFmPjFm-o"
"tt1023111","Never Back Down","2008","113","Action|Drama|Sport","6.6","https://m.media-amazon.com/images/M/MV5BMTkzNDg3MTIyMF5BMl5BanBnXkFtZTcwOTAwNDc1MQ@@._V1_.jpg","A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.","https://imdb-video.media-imdb.com/vi697893145/1434659607842-pgv4ql-1563969138891.mp4?Expires=1585977791&Signature=aEMI5nU69sTT4inkkcUk73uWCOFskOMD9JKxf91D~U7lezkrKSpiZRQyc8H-ItCwKu53LH4VHOoHB85NyXCMEMEPO-AXbG36azE8j9xoTD9wpQ6ogCZz5JrLzLVJOOEVMg7wt5jz2~JhAfPMGEafMB5qZ25RuFf299Oxj2npIYinJRWG~W3-lAAHLKBYKrfBENtVodI8lleRn5i14ssxsgJlrxNdmGc1sogZQidUBGe1sBe8d-xRilfr2W4yO~lhGMeYsX0~JU4BGgekWXWDqAIpPomPVwNBiEo3NXcxhKC6F60mzf69XhOlXDTawDAt6o4a~CH1t7rEe0R1p7pwaQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","58627","2tc-RPjZRm8"
"tt1012804","Redbelt","2008","99","Drama|Sport","6.7","https://m.media-amazon.com/images/M/MV5BMTUzMzQxODQzM15BMl5BanBnXkFtZTcwMjIwMDM2MQ@@._V1_.jpg","A fateful event leads to a job in the film business for top mixed-martial arts instructor Mike Terry. Though he refuses to participate in prize bouts, circumstances conspire to force him to consider entering such a competition.","https://imdb-video.media-imdb.com/vi2914124057/MV5BMGNkOTRjNjktYjM4Mi00YjE1LWI1ZTUtMzJiYjc1M2U0OGQyXkExMV5Bd2VibV5BaW1kYi1ldHMtdHJhbnNjb2Rl.webm?Expires=1585980628&Signature=p1Cfbj-5MYPhkMV7sa1hGwhf8N4Myl8jq73QW311Cc6EZTOlOjRWzVjDy0Suo1LvQHIHKOa5-LH~CwDfafdj8dHZJerf010ysfvtZlvx~ZpGMhtY8v9GjWWuqh4Ls2sNRvy8AGcGau1T677QR0IXeFIc1n1yXWJjGPxpkIqQr7bUYxfi8JxACq~RnnIwtw7w8zjsBBoXpOd4jvuer~qlEVEids-6axA6GPfzqjbZj3MJJBSh4usCipmT3nO1AbcBFQlQqXrwR8BOoi7MxsYGcE1YoIKToR2i2h7ZuVhoypg2jG1NDzIv5cVDaM2DNzQeMQrN2L~7ZZ9tAf7G2QM4YA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","59336","uRRTjflCJew"
"tt1033643","What Happens in Vegas","2008","99","Comedy|Romance","6.1","https://m.media-amazon.com/images/M/MV5BMTIxNzMwOTU3OF5BMl5BanBnXkFtZTcwMzk0NTM2MQ@@._V1_.jpg","A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.","https://imdb-video.media-imdb.com/vi2092040473/MV5BMTg2OTg0MTY4NF5BMTFeQW1wNF5BbWU3MDEwNzA4OTY@.mp4?Expires=1585983089&Signature=U1WiuPfOYaskpCDXnOpUCqGkoXGwoBxQOqr~3RZTcjkY9DfWjPR7n92ANTqeLM~NjMyLIdP4G03SHPitzTLI51ARbaJAziR8X15qgadyldMIRFR0PUIR2AM-NhhvzWrSD~Tr6ESZh8bJSTehU94pMES5H92aPg60iPK-B6fRAvT6ViQxh5aKq7cHmri4QGTsXTn8cp1UA~Hx2elwSBnkc5CnkTu5loePk4703IwDUPH3VUMYeiLjTPdLShLfhhnacPiSu2GAZSRUzIBaPS810CTw8VbI9iPuBBNcABVYMPZhhYV9HGLwJD~i~kWlgEN~fbQtEkau11Sk17lDcSs4Kg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","59421","EsO3PfQiXy8"
"tt1082886","The Wackness","2008","99","Comedy|Drama|Romance","7","https://m.media-amazon.com/images/M/MV5BOTkwNDkzMDI1Ml5BMl5BanBnXkFtZTcwMTc1OTA3MQ@@._V1_.jpg","It's the summer of 1994, and the streets of New York are pulsing with hip-hop. Set against this backdrop, a lonely teenager named Luke Shapiro spends his last summer before university selling marijuana throughout New York City, trading it with his unorthodox psychotherapist for treatment, while having a crush on his stepdaughter.","https://imdb-video.media-imdb.com/vi3924230425/MV5BZDY5ZjBiMDUtYjNhZS00YWFlLThlYWYtODE0YzkyOTkyYTJlXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1585980866&Signature=pk9Lw6YuhZwUVP0pP063qa5xgEKOoMs4ffa~mi8zINpOCa4CvgRK8S5O-Msb1AceNS6vi4GzPzUN9UFsORNjMSfQk6UPtIovgBLHcf~ptmShK6NjVrnOD5ChtZeQPa0h00FaIhU1uVSHZPiyCG8cxRZgwWnPqY~BQawjlSZ6v9YjOA53-Ytu-EDxQ-I9WPyRZjfuGEgYzWfJRhNa4YM2RunRbTcM~tde4cagNdp0KhZC3aVvavjzet4Frx3JcPu-nk0tPFqrbeQy2DZ~p6rkO2drdwkJ~-lUqXN9Ye3nWbCnDL3c0pGbpuZ~y1UEprEopDLV-YDJiJKPx60CqkP1Zw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","60293","LBewdRfdH4U"
"tt1064932","Bienvenue chez les Ch'tis","2008","106","Comedy|Romance","7.1","https://m.media-amazon.com/images/M/MV5BMTkxNjQ5NDEtZDE2Mi00OWUyLThkZmEtYWRmMjA0MTU5MzM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg","A French public servant from Provence is banished to the far North. Strongly prejudiced against this cold and inhospitable place, he leaves his family behind to relocate temporarily there, with the firm intent to quickly come back.","https://imdb-video.media-imdb.com/vi346797593/1434659454657-dx9ykf-1473890342359.mp4?Expires=1585978710&Signature=sFjY4olKvKmYlbFnUi8nyxTTASdFvpcMFHfnyNi6r~jrSjNJAdhh~IUWx4GBqtPlgqdE3ov59bsab9DA2xWVVkrYzy2A3ycxEIK8l7UAyzSoKOxDHr7oqFtPZCfoWgANM~rZDMjtmUCxq2fqAANyxvguckk5KFFqAdUCH9~F8tkCvwQdyrraN4C6M7u0GHd37VmGMtJoEh1gLY0kYkhhEJRhN2ehawOF3w5W6O6TvvMXJ5mZj6TfG6CXB0C1JHWhV~5vre9VXghFvtJqqXGYkF4Y7wzeIWF1lXJcAoNc9n~OanVfrfsoLzgOIRnvnf~IOZG~DeBX~oRG9n0N6hpMgQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA","60408","_6Mx3HZ4_tI"
