"movieid","title"
"tt0499549","Avatar"
"tt0449088","Pirates of the Caribbean: At World's End"
"tt2379713","Spectre"
"tt1345836","The Dark Knight Rises"
"tt0401729","John Carter"
"tt0413300","Spider-Man 3"
"tt0398286","Tangled"
"tt2395427","Avengers: Age of Ultron"
"tt0417741","Harry Potter and the Half-Blood Prince"
"tt2975590","Batman v Superman: Dawn of Justice"
"tt0348150","Superman Returns"
"tt0830515","Quantum of Solace"
"tt0383574","Pirates of the Caribbean: Dead Man's Chest"
"tt1210819","The Lone Ranger"
"tt0770828","Man of Steel"
"tt0499448","The Chronicles of Narnia: Prince Caspian"
"tt0848228","The Avengers"
"tt1298650","Pirates of the Caribbean: On Stranger Tides"
"tt1409024","Men in Black 3"
"tt2310332","The Hobbit: The Battle of the Five Armies"
"tt0948470","The Amazing Spider-Man"
"tt0955308","Robin Hood"
"tt1170358","The Hobbit: The Desolation of Smaug"
"tt0385752","The Golden Compass"
"tt0360717","King Kong"
"tt0120338","Titanic"
"tt3498820","Captain America: Civil War"
"tt1440129","Battleship"
"tt0369610","Jurassic World"
"tt1074638","Skyfall"
"tt0316654","Spider-Man 2"
"tt1300854","Iron Man Three"
"tt1014759","Alice in Wonderland"
"tt0376994","X-Men: The Last Stand"
"tt1453405","Monsters University"
"tt1055369","Transformers: Revenge of the Fallen"
"tt2109248","Transformers: Age of Extinction"
"tt1623205","Oz the Great and Powerful"
"tt1872181","The Amazing Spider-Man 2"
"tt1104001","Tron"
"tt1216475","Cars 2"
"tt1133985","Green Lantern"
"tt0435761","Toy Story 3"
"tt0438488","Terminator Salvation"
"tt2820852","Fast & Furious 7"
"tt0816711","World War Z"
"tt1877832","X-Men: Days of Future Past"
"tt1408101","Star Trek Into Darkness"
"tt1351685","Jack the Giant Slayer"
"tt1343092","The Great Gatsby"
"tt0473075","Prince of Persia: The Sands of Time"
"tt1663662","Pacific Rim"
"tt1399103","Transformers: Dark of the Moon"
"tt0367882","Indiana Jones and the Kingdom of the Crystal Skull"
"tt1979388","The Good Dinosaur"
"tt1217209","Brave"
"tt2660888","Star Trek Beyond"
"tt0910970","WALL·E"
"tt0293564","Rush Hour 3"
"tt1190080","2012"
"tt1067106","A Christmas Carol"
"tt1617661","Jupiter Ascending"
"tt0918940","The Legend of Tarzan"
"tt0363771","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"tt3385516","X-Men: Apocalypse"
"tt0468569","The Dark Knight"
"tt1049413","Up"
"tt0892782","Monsters vs. Aliens"
"tt0371746","Iron Man"
"tt0970179","Hugo"
"tt0120891","Wild Wild West"
"tt0859163","The Mummy: Tomb of the Dragon Emperor"
"tt1386697","Suicide Squad"
"tt1631867","Edge of Tomorrow"
"tt0114898","Waterworld"
"tt1046173","G.I. Joe: The Rise of Cobra"
"tt2096673","Inside Out"
"tt3040964","The Jungle Book"
"tt1228705","Iron Man 2"
"tt1735898","Snow White and the Huntsman"
"tt1587310","Maleficent"
"tt2103281","Dawn of the Planet of the Apes"
"tt1321869","The Lovers"
"tt1335975","47 Ronin"
"tt1843866","Captain America: The Winter Soldier"
"tt0892791","Shrek Forever After"
"tt1964418","Tomorrowland"
"tt2245084","Big Hero 6"
"tt1772341","Wreck-It Ralph"
"tt0338348","The Polar Express"
"tt1628841","Independence Day: Resurgence"
"tt0892769","How to Train Your Dragon"
"tt0181852","Terminator 3: Rise of the Machines"
"tt2015381","Guardians of the Galaxy"
"tt0816692","Interstellar"
"tt1375666","Inception"
"tt4262980","Shin Gojira"
"tt0903624","The Hobbit: An Unexpected Journey"
"tt0232500","The Fast and the Furious"
"tt0421715","The Curious Case of Benjamin Button"
"tt1270798","X: First Class"
"tt1951266","The Hunger Games: Mockingjay - Part 2"
"tt0963966","The Sorcerer's Apprentice"
"tt0409182","Poseidon"
"tt2567026","Alice Through the Looking Glass"
"tt0413267","Shrek the Third"
"tt0803096","Warcraft"
"tt1340138","Terminator Genisys"
"tt0980970","The Chronicles of Narnia: The Voyage of the Dawn Treader"
"tt0213149","Pearl Harbor"
"tt0418279","Transformers"
"tt0346491","Alexander"
"tt0373889","Harry Potter and the Order of the Phoenix"
"tt0330373","Harry Potter and the Goblet of Fire"
"tt0448157","Hancock"
"tt0480249","I Am Legend"
"tt0367594","Charlie and the Chocolate Factory"
"tt0382932","Ratatouille"
"tt0372784","Batman Begins"
"tt0479952","Madagascar: Escape 2 Africa"
"tt1078912","Night at the Museum: Battle of the Smithsonian"
"tt0458525","X-Men Origins: Wolverine"
"tt0242653","The Matrix Revolutions"
"tt2294629","Frozen"
"tt0234215","The Matrix Reloaded"
"tt1981115","Thor: The Dark World"
"tt1392190","Mad Max: Fury Road"
"tt0808151","Angels & Demons"
"tt0800369","Thor"
"tt0397892","Bolt"
"tt0436339","G-Force"
"tt1646987","Wrath of the Titans"
"tt1077368","Dark Shadows"
"tt2381249","Mission: Impossible - Rogue Nation"
"tt0780653","The Wolfman"
"tt0389790","Bee Movie"
"tt1302011","Kung Fu Panda 2"
"tt0938283","The Last Airbender"
"tt0317919","Mission: Impossible III"
"tt2334879","White House Down"
"tt1305591","Mars Needs Moms"
"tt0424095","Flushed Away"
"tt3332064","Pan"
"tt0864835","Mr. Peabody & Sherman"
"tt0332452","Troy"
"tt1277953","Madagascar 3: Europe's Most Wanted"
"tt0246460","Die Another Day"
"tt1289401","Ghostbusters"
"tt0120591","Armageddon"
"tt0120912","Men in Black II"
